15605215,767,48,9,0,2,0,1,175458.21
15567855,623,29,1,0,2,0,0,39382.06
15780256,630,34,9,0,2,1,1,114006.35
15592229,713,52,0,185891.54,1,1,1,46369.57
15788683,588,34,10,129417.82,1,1,0,153727.32
15693203,710,75,5,0,2,1,1,9376.89
15635125,566,63,2,120787.18,2,1,1,52198.84
15582129,517,62,1,43772.66,3,1,0,187756.24
15703482,710,34,9,134260.36,2,1,0,147074.67
15670738,733,45,2,113939.36,2,1,0,3218.71
15624775,729,67,2,94203.8,1,0,1,102391.06
15741094,693,21,1,0,2,1,1,3494.02
15687828,644,31,5,86006.3,1,1,1,73922.95
15661708,508,41,5,0,2,1,1,94170.84
15790497,503,37,6,0,2,0,0,136506.86
15620103,660,40,8,167181.01,1,1,1,185156.94
15586680,462,27,4,176913.52,1,1,0,80587.27
15749557,707,44,6,0,2,1,1,192542.17
15622443,549,31,4,0,2,0,1,25684.85
15745533,799,63,1,110314.21,2,1,0,37464
15691647,411,35,2,0,2,1,1,93825.78
15599289,724,37,10,68598.56,1,1,0,157862.82
15766826,824,26,7,146266,1,1,0,21903.62
15643523,710,30,10,0,2,1,0,19500.1
15720637,710,46,10,120530.34,1,1,0,166586.99
15693947,614,19,5,97445.49,2,1,0,122823.34
15726556,594,26,6,135067.52,2,0,0,131211.86
15591257,796,24,8,0,2,1,0,61349.37
15792473,598,50,5,88379.81,3,0,1,64157.24
15605113,518,27,1,133801.49,1,1,1,143315.57
15628904,733,35,8,102918.38,1,1,1,45959.86
15586821,727,28,5,0,2,0,1,19653.08
15637829,691,34,7,0,2,0,1,161559.12
15648075,686,47,5,170935.94,1,1,0,173179.79
15654760,811,40,1,101514.89,1,1,1,121765
15796115,689,40,4,78119.59,4,1,0,119259.34
15812918,432,27,6,62339.81,2,0,0,53874.67
15595282,735,33,4,0,2,1,0,149474.69
15684171,660,61,5,155931.11,1,1,1,158338.39
15625761,632,41,8,127205.32,4,1,0,93874.87
15632344,792,42,0,99045.93,2,1,0,47160.01
15572767,777,29,2,0,2,1,0,124489.88
15696301,719,37,9,101455.7,1,1,0,25803.59
15682928,695,39,4,65521.2,1,1,1,1243.97
15776124,802,51,7,0,1,0,1,40855.79
15594685,757,49,2,0,2,0,0,164482.92
15688691,665,51,9,110610.41,2,0,1,1112.76
15615032,624,46,3,0,2,1,1,62825.03
15754820,637,35,8,147127.81,2,1,1,84760.7
15799422,535,40,8,0,1,1,1,27689.77
15739248,727,52,4,0,2,1,1,118429.02
15696637,571,23,10,151097.28,1,0,1,17163.75
15697201,640,46,3,0,1,1,1,156260.08
15707674,515,58,2,131852.81,1,1,0,81436.68
15682839,575,57,8,137936.94,1,1,1,84475.13
15637993,711,36,9,137688.71,1,1,1,46884.1
15765694,584,59,1,0,1,0,1,130260.11
15742091,825,35,6,118336.95,1,1,0,26342.33
15712960,613,37,3,171653.17,1,0,1,5353.12
15716994,559,24,3,114739.92,1,1,0,85891.02
15706268,697,51,1,147910.3,1,1,1,53581.14
15726289,645,25,0,174400.36,1,1,0,42669.37
15627637,709,23,8,73314.04,2,1,0,63446.47
15782941,573,31,2,0,2,1,1,91957.39
15611612,570,29,0,0,1,1,0,37092.43
15744109,850,32,4,0,1,1,1,180622.02
15591932,680,32,5,92961.61,1,1,0,116957.6
15663885,741,32,5,0,1,1,1,64839.23
15766765,664,39,7,60263.23,1,1,0,170835.32
15652955,678,30,0,0,1,1,0,35113.08
15803886,629,31,6,132876.55,1,1,1,130862.11
15738166,596,39,10,86546.29,1,0,1,131768.98
15572021,798,29,8,80204.11,2,1,0,70223.22
15647306,777,29,9,131240.61,1,1,1,163746.09
15733429,520,34,8,120018.86,2,1,1,343.38
15611365,730,32,9,127661.69,1,0,0,60905.51
15752809,702,43,6,116121.67,1,1,0,61602.42
15657881,784,38,5,136712.91,1,0,1,169920.92
15792077,671,28,8,119859.52,2,1,0,125422.66
15676404,672,50,1,0,1,1,0,12106.82
15672516,541,51,7,90373.28,2,1,0,179861.79
15723864,828,47,1,109876.82,2,1,0,83611.45
15787550,719,69,3,0,2,1,1,58320.06
15784286,641,40,5,102145.13,1,1,1,100637.07
15607381,769,31,7,148913.72,2,1,0,53817.23
15621031,761,27,8,0,2,1,0,63297.7
15727408,523,27,8,61688.61,2,1,0,147059.16
15693906,645,24,3,34547.82,1,1,1,11638.17
15604130,622,47,6,142319.03,1,0,0,100183.05
15694192,598,38,6,0,2,0,0,173783.38
15777179,687,35,9,0,2,0,1,73133.82
15569451,463,35,2,101257.16,1,1,1,118113.64
15578098,600,31,8,0,2,1,1,121555.51
15753591,438,38,2,0,2,1,0,136859.55
15763665,833,28,4,136674.51,2,0,0,5278.78
15783025,723,37,3,94661.53,2,1,0,121239.65
15771154,683,73,8,137732.23,2,1,1,133210.44
15614778,579,31,6,0,2,1,0,26149.25
15713673,494,33,1,137853,1,0,1,90273.85
